72, 8, label, 0.2317743696890721, 0.0;
72, 8, text, 0.21729343462457276, 0.0;
73, 8, input, 0.07588340533580352, 0.0;
74, 8, button, 0, 0;
75, 9, span, 0.14575424759098898, 0.0;
76, 10, img, 0.14575424759098898, 0.0;
77, 1, div, 0.2630169903639559, 4.208271845823295;
78, 2, div, 0.5171514757368123, 8.274423611788997;
79, 3, div, 0.5171514757368123, 8.274423611788997;
80, 4, div, 0.4618496120221125, 7.3895937923538;
81, 5, h1, 0.2317743696890721, 2.781292436268865;
81, 5, text, 0.2226538069499171, 0.0;
82, 5, div, 0.5276038596131014, 8.441661753809623;
83, 6, div, 0.5276038596131014, 8.441661753809623;
84, 7, div, 0.5260339807279119, 8.41654369164659;
85, 8, div, 0.510621890290302, 8.169950244644832;
86, 9, div, 0.510621890290302, 8.169950244644832;
87, 10, div, 0.39914408695992987, 6.386305391358878;
88, 11, script, 0.2549936506379457, 0.0;
88, 11, text, 0.2589519032238371, 0.0;
89, 11, div, 0.21729343462457276, 3.4766949539931646;
90, 12, a, 0.373698440152757, 0.0;
90, 12, text, 0.26458686924914554, 0.0;
91, 11, script, 0.05643856189774724, 0.0;
92, 11, a, 0.19855508874019848, 0.0;
93, 12, img, 0.05643856189774724, 0.0;
94, 10, script, 0.2549936506379457, 0.0;
94, 10, text, 0.2589519032238371, 0.0;
95, 9, script, 0.5564385618977472, 0.0;
95, 9, text, 1, 0;
96, 5, div, 0.5276038596131014, 8.441661753809623;
97, 6, div, 0.42965680253337624, 6.87450884053402;
98, 7, h2, 0.03321928094887362, 0.39863137138648347;
99, 8, a, 0.41006358392217646, 0.0;
99, 8, text, 0.23641157053457626, 0.0;
100, 7, div, 0.5260339807279119, 8.41654369164659;
101, 8, div, 0.5260339807279119, 8.41654369164659;
102, 9, div, 0.510621890290302, 8.169950244644832;
103, 10, div, 0.21729343462457276, 3.4766949539931646;
104, 11, dl, 0, 0;
105, 12, dt, 0.03321928094887362, 0.3321928094887362;
106, 13, a, 0.6751433514125585, 0.0;
106, 13, text, 1, 0;
107, 12, dd, 0.5332192809488736, 5.3321928094887365;
107, 12, text, 1, 0;
108, 12, dd, 0.03321928094887362, 0.3321928094887362;
109, 13, a, 0.17514335141255852, 0.0;
110, 14, img, 0.05643856189774724, 0.0;
111, 11, dl, 0, 0;
112, 12, dt, 0.03321928094887362, 0.3321928094887362;
113, 13, a, 0.373698440152757, 0.0;
113, 13, text, 0.26458686924914554, 0.0;
114, 12, dd, 0.5332192809488736, 5.3321928094887365;
114, 12, text, 1, 0;
115, 12, dd, 0.03321928094887362, 0.3321928094887362;
116, 13, a, 0.17514335141255852, 0.0;
117, 14, img, 0.05643856189774724, 0.0;
118, 11, dl, 0, 0;
119, 12, dt, 0.03321928094887362, 0.3321928094887362;
120, 13, a, 0.373698440152757, 0.0;
120, 13, text, 0.26458686924914554, 0.0;
121, 12, dd, 0.5332192809488736, 5.3321928094887365;
121, 12, text, 1, 0;
122, 12, dd, 0.03321928094887362, 0.3321928094887362;
123, 13, a, 0.17514335141255852, 0.0;
124, 14, span, 0.14575424759098898, 0.0;
125, 14, img, 0.05643856189774724, 0.0;
126, 11, dl, 0, 0;
127, 12, dt, 0.03321928094887362, 0.3321928094887362;
128, 13, a, 0.373698440152757, 0.0;
128, 13, text, 0.26458686924914554, 0.0;
129, 12, dd, 0.5332192809488736, 5.3321928094887365;
129, 12, text, 1, 0;
130, 12, dd, 0.03321928094887362, 0.3321928094887362;
131, 13, a, 0.17514335141255852, 0.0;
132, 14, span, 0.14575424759098898, 0.0;
133, 14, img, 0.05643856189774724, 0.0;
134, 11, dl, 0, 0;
135, 12, dt, 0.03321928094887362, 0.3321928094887362;
136, 13, a, 0.373698440152757, 0.0;
136, 13, text, 0.26458686924914554, 0.0;
137, 12, dd, 0.5332192809488736, 5.3321928094887365;
137, 12, text, 1, 0;
138, 12, dd, 0.03321928094887362, 0.3321928094887362;
139, 13, a, 0.17514335141255852, 0.0;
140, 14, img, 0.05643856189774724, 0.0;
141, 11, dl, 0, 0;
142, 12, dt, 0.03321928094887362, 0.3321928094887362;
